[2024-11-19 18:15:05] Robot ID: 6 - Position: (1324.95, 1170.16) - Status: Changed direction
[2024-11-19 18:15:05] Robot ID: 6 - Position: (1353.65, 1170.16) - Status: Changed direction
[2024-11-19 18:15:08] Robot ID: 6 - Position: (1353.65, 894.428) - Status: Moving
[2024-11-19 18:15:11] Robot ID: 6 - Position: (1353.65, 599.9) - Status: Changed direction
[2024-11-19 18:15:11] Robot ID: 6 - Position: (1368.94, 599.9) - Status: Moving
[2024-11-19 18:15:11] Robot ID: 6 - Position: (1381.24, 599.9) - Status: Changed direction
[2024-11-19 18:15:14] Robot ID: 6 - Position: (1381.24, 889.829) - Status: Moving
[2024-11-19 18:15:17] Robot ID: 6 - Position: (1381.24, 1170.16) - Status: Changed direction
[2024-11-19 18:15:17] Robot ID: 6 - Position: (1398.73, 1170.16) - Status: Moving
[2024-11-19 18:15:17] Robot ID: 6 - Position: (1406.93, 1170.16) - Status: Changed direction
[2024-11-19 18:15:20] Robot ID: 6 - Position: (1406.93, 878.532) - Status: Moving
[2024-11-19 18:15:23] Robot ID: 6 - Position: (1406.93, 599.9) - Status: Changed direction
[2024-11-19 18:15:23] Robot ID: 6 - Position: (1424.03, 599.9) - Status: Moving
[2024-11-19 18:15:23] Robot ID: 6 - Position: (1441.02, 599.9) - Status: Changed direction
[2024-11-19 18:15:26] Robot ID: 6 - Position: (1441.02, 876.233) - Status: Moving
[2024-11-19 18:15:29] Robot ID: 6 - Position: (1441.02, 1162.56) - Status: Moving
[2024-11-19 18:15:29] Robot ID: 6 - Position: (1441.02, 1170.16) - Status: Changed direction
[2024-11-19 18:15:29] Robot ID: 6 - Position: (1475.62, 1170.16) - Status: Changed direction
[2024-11-19 18:15:32] Robot ID: 6 - Position: (1475.62, 926.32) - Status: Moving
[2024-11-19 18:15:35] Robot ID: 6 - Position: (1475.62, 640.09) - Status: Moving
[2024-11-19 18:15:35] Robot ID: 6 - Position: (1475.62, 599.9) - Status: Changed direction
[2024-11-19 18:15:36] Robot ID: 6 - Position: (1502.41, 599.9) - Status: Changed direction
[2024-11-19 18:15:38] Robot ID: 6 - Position: (1502.41, 804.35) - Status: Moving
[2024-11-19 18:15:41] Robot ID: 6 - Position: (1502.41, 1082.58) - Status: Moving
[2024-11-19 18:15:42] Robot ID: 6 - Position: (1502.41, 1170.16) - Status: Changed direction
[2024-11-19 18:15:42] Robot ID: 6 - Position: (1529.6, 1170.16) - Status: Changed direction
[2024-11-19 18:15:44] Robot ID: 6 - Position: (1529.6, 1008.3) - Status: Moving
[2024-11-19 18:15:47] Robot ID: 6 - Position: (1529.6, 736.467) - Status: Moving
[2024-11-19 18:15:48] Robot ID: 6 - Position: (1529.6, 599.9) - Status: Changed direction
[2024-11-19 18:15:49] Robot ID: 6 - Position: (1554.9, 599.9) - Status: Changed direction
[2024-11-19 18:15:50] Robot ID: 6 - Position: (1554.9, 705.974) - Status: Moving
[2024-11-19 18:15:53] Robot ID: 6 - Position: (1554.9, 974.209) - Status: Moving
[2024-11-19 18:15:55] Robot ID: 6 - Position: (1554.9, 1170.16) - Status: Changed direction
[2024-11-19 18:15:55] Robot ID: 6 - Position: (1570.19, 1170.16) - Status: Changed direction
[2024-11-19 18:15:56] Robot ID: 6 - Position: (1514.91, 1170.16) - Status: Moving
[2024-11-19 18:15:59] Robot ID: 6 - Position: (1251.47, 1170.16) - Status: Moving
[2024-11-19 18:16:02] Robot ID: 6 - Position: (992.333, 1170.16) - Status: Moving
[2024-11-19 18:16:05] Robot ID: 6 - Position: (731.697, 1170.16) - Status: Moving
[2024-11-19 18:16:08] Robot ID: 6 - Position: (476.449, 1170.16) - Status: Moving
[2024-11-19 18:16:11] Robot ID: 6 - Position: (228.133, 1170.16) - Status: Moving
[2024-11-19 18:16:14] Robot ID: 6 - Position: (-0.171278, 1170.16) - Status: Changed direction
[2024-11-19 18:16:14] Robot ID: 6 - Position: (-0.171278, 1170.26) - Status: Changed direction
[2024-11-19 18:16:14] Robot ID: 6 - Position: (24.8288, 1170.26) - Status: Moving
[2024-11-19 18:16:14] Robot ID: 6 - Position: (31.4288, 1170.26) - Status: Changed direction
[2024-11-19 18:16:17] Robot ID: 6 - Position: (31.4288, 924.521) - Status: Moving
[2024-11-19 18:16:20] Robot ID: 6 - Position: (31.4288, 677.581) - Status: Moving
[2024-11-19 18:16:21] Robot ID: 6 - Position: (31.4288, 599.9) - Status: Changed direction
[2024-11-19 18:16:21] Robot ID: 6 - Position: (63.0283, 599.9) - Status: Changed direction
[2024-11-19 18:16:23] Robot ID: 6 - Position: (63.0283, 739.566) - Status: Moving
[2024-11-19 18:16:26] Robot ID: 6 - Position: (63.0283, 984.606) - Status: Moving
[2024-11-19 18:16:28] Robot ID: 6 - Position: (63.0283, 1170.16) - Status: Changed direction
[2024-11-19 18:16:29] Robot ID: 6 - Position: (89.9279, 1170.16) - Status: Changed direction
[2024-11-19 18:16:29] Robot ID: 6 - Position: (89.9279, 1156.06) - Status: Moving
[2024-11-19 18:16:32] Robot ID: 6 - Position: (89.9279, 915.523) - Status: Moving
[2024-11-19 18:16:35] Robot ID: 6 - Position: (89.9279, 676.481) - Status: Moving
[2024-11-19 18:16:36] Robot ID: 6 - Position: (89.9279, 599.9) - Status: Changed direction
[2024-11-19 18:16:36] Robot ID: 6 - Position: (118.327, 599.9) - Status: Changed direction
[2024-11-19 18:16:38] Robot ID: 6 - Position: (118.327, 726.069) - Status: Moving
[2024-11-19 18:16:41] Robot ID: 6 - Position: (118.327, 862.236) - Status: Moving
[2024-11-19 18:16:44] Robot ID: 6 - Position: (118.327, 996.603) - Status: Moving
[2024-11-19 18:16:47] Robot ID: 6 - Position: (118.327, 1119.57) - Status: Moving
[2024-11-19 18:16:48] Robot ID: 6 - Position: (118.327, 1170.16) - Status: Changed direction
[2024-11-19 18:16:49] Robot ID: 6 - Position: (148.429, 1170.16) - Status: Changed direction
[2024-11-19 18:16:50] Robot ID: 6 - Position: (148.429, 1125.67) - Status: Moving
[2024-11-19 18:16:53] Robot ID: 6 - Position: (148.429, 996.003) - Status: Moving
[2024-11-19 18:16:56] Robot ID: 6 - Position: (148.429, 864.435) - Status: Moving
[2024-11-19 18:16:59] Robot ID: 6 - Position: (148.429, 724.969) - Status: Moving
[2024-11-19 18:17:02] Robot ID: 6 - Position: (148.429, 599.9) - Status: Changed direction
[2024-11-19 18:17:02] Robot ID: 6 - Position: (154.729, 599.9) - Status: Moving
[2024-11-19 18:17:02] Robot ID: 6 - Position: (175.73, 599.9) - Status: Changed direction
[2024-11-19 18:17:05] Robot ID: 6 - Position: (175.73, 713.972) - Status: Moving
[2024-11-19 18:17:08] Robot ID: 6 - Position: (175.73, 858.537) - Status: Moving
[2024-11-19 18:17:11] Robot ID: 6 - Position: (175.73, 1006.6) - Status: Moving
[2024-11-19 18:17:14] Robot ID: 6 - Position: (175.73, 1146.57) - Status: Moving
[2024-11-19 18:17:14] Robot ID: 6 - Position: (175.73, 1170.16) - Status: Changed direction
[2024-11-19 18:17:15] Robot ID: 6 - Position: (203.932, 1170.16) - Status: Changed direction
[2024-11-19 18:17:17] Robot ID: 6 - Position: (203.932, 1074.58) - Status: Moving
[2024-11-19 18:17:20] Robot ID: 6 - Position: (203.932, 940.717) - Status: Moving
[2024-11-19 18:17:23] Robot ID: 6 - Position: (203.932, 794.353) - Status: Moving
[2024-11-19 18:17:26] Robot ID: 6 - Position: (203.932, 654.087) - Status: Moving
[2024-11-19 18:17:27] Robot ID: 6 - Position: (203.932, 599.9) - Status: Changed direction
[2024-11-19 18:17:28] Robot ID: 6 - Position: (231.734, 599.9) - Status: Changed direction
[2024-11-19 18:17:29] Robot ID: 6 - Position: (231.734, 661.785) - Status: Moving
[2024-11-19 18:17:32] Robot ID: 6 - Position: (231.734, 805.05) - Status: Moving
[2024-11-19 18:17:35] Robot ID: 6 - Position: (231.734, 946.615) - Status: Moving
[2024-11-19 18:17:38] Robot ID: 6 - Position: (231.734, 1078.08) - Status: Moving
[2024-11-19 18:17:40] Robot ID: 6 - Position: (231.734, 1170.16) - Status: Changed direction
[2024-11-19 18:17:41] Robot ID: 6 - Position: (264.236, 1170.16) - Status: Changed direction
[2024-11-19 18:17:41] Robot ID: 6 - Position: (264.236, 1168.86) - Status: Moving
[2024-11-19 18:17:44] Robot ID: 6 - Position: (264.236, 1045.89) - Status: Moving
[2024-11-19 18:17:47] Robot ID: 6 - Position: (264.236, 926.92) - Status: Moving
[2024-11-19 18:17:50] Robot ID: 6 - Position: (264.236, 795.452) - Status: Moving
[2024-11-19 18:17:53] Robot ID: 6 - Position: (264.236, 665.884) - Status: Moving
[2024-11-19 18:17:55] Robot ID: 6 - Position: (264.236, 599.9) - Status: Changed direction
[2024-11-19 18:17:55] Robot ID: 6 - Position: (294.237, 599.9) - Status: Changed direction
[2024-11-19 18:17:56] Robot ID: 6 - Position: (294.237, 637.091) - Status: Moving
[2024-11-19 18:17:59] Robot ID: 6 - Position: (294.237, 757.961) - Status: Moving
[2024-11-19 18:18:02] Robot ID: 6 - Position: (294.237, 892.429) - Status: Moving
[2024-11-19 18:18:05] Robot ID: 6 - Position: (294.237, 1015.4) - Status: Moving
[2024-11-19 18:18:08] Robot ID: 6 - Position: (294.237, 1136.07) - Status: Moving
[2024-11-19 18:18:09] Robot ID: 6 - Position: (294.237, 1170.16) - Status: Changed direction
[2024-11-19 18:18:10] Robot ID: 6 - Position: (327.64, 1170.16) - Status: Changed direction
[2024-11-19 18:18:11] Robot ID: 6 - Position: (327.64, 1109.48) - Status: Moving
[2024-11-19 18:18:14] Robot ID: 6 - Position: (327.64, 975.808) - Status: Moving
[2024-11-19 18:18:17] Robot ID: 6 - Position: (327.64, 837.042) - Status: Moving
[2024-11-19 18:18:20] Robot ID: 6 - Position: (327.64, 710.373) - Status: Moving
[2024-11-19 18:18:23] Robot ID: 6 - Position: (327.64, 599.9) - Status: Changed direction
[2024-11-19 18:18:23] Robot ID: 6 - Position: (336.24, 599.9) - Status: Moving
[2024-11-19 18:18:24] Robot ID: 6 - Position: (354.341, 599.9) - Status: Changed direction
[2024-11-19 18:18:26] Robot ID: 6 - Position: (354.341, 705.974) - Status: Moving
[2024-11-19 18:18:29] Robot ID: 6 - Position: (354.341, 840.141) - Status: Moving
[2024-11-19 18:18:32] Robot ID: 6 - Position: (354.341, 974.509) - Status: Moving
[2024-11-19 18:18:35] Robot ID: 6 - Position: (354.341, 1101.58) - Status: Moving
[2024-11-19 18:18:37] Robot ID: 6 - Position: (354.341, 1170.16) - Status: Changed direction
[2024-11-19 18:18:38] Robot ID: 6 - Position: (387.143, 1170.16) - Status: Changed direction
